time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.1874e-06	1369.4700000000003	44.8284	202.77700000000002
1	6.1874e-06	1.40786e-05	1369.4700000000003	44.8284	202.77700000000002
2	1.40786e-05	2.41429e-05	1369.4700000000003	289.667	202.77700000000002
3	2.41429e-05	3.69786e-05	1335.0449999999998	206.545	196.7101
4	3.69786e-05	5.3349e-05	1220.0376999999999	148.148	182.55400000000006
5	5.3349e-05	7.42273e-05	494.7969999999999	105.018	152.25279999999998
6	7.42273e-05	0.000100855	259.82949999999994	81.7129	124.81020000000004
7	0.000100855	0.000134815	167.13660000000004	71.998	101.40550000000003
8	0.000134815	0.000178127	110.70646999999997	65.3489	82.69988000000002
9	0.000178127	0.000233365	87.74197999999997	62.6389	72.76451999999999
10	0.000233365	0.000303815	77.21685999999998	65.2829	71.68878
11	0.000303815	0.000393665	77.07114000000001	73.0958	77.02672
12	0.000393665	0.000508258	84.06049999999999	86.2603	89.36125000000001
13	0.000508258	0.000654406	97.58014000000003	104.714	105.29175000000001
14	0.000654406	0.000840799	114.11320000000002	127.396	126.5306
15	0.000840799	0.00107852	135.5948	152.898	150.2542
16	0.00107852	0.0013817	162.18480000000002	180.118	175.5054
17	0.0013817	0.00176837	188.63859999999997	208.267	201.58219999999997
18	0.00176837	0.00226152	218.75499999999997	236.489	227.78310000000002
19	0.00226152	0.00289047	246.40300000000002	263.422	255.41480000000004
20	0.00289047	0.00369262	272.47599999999994	286.811	277.8943
21	0.00369262	0.00471565	294.55519999999996	303.603	295.03459999999995
22	0.00471565	0.00602041	309.81840000000005	311.296	304.4995
23	0.00602041	0.00768445	316.5298	310.095	305.59189999999995
24	0.00768445	0.00980673	314.14940000000007	302.943	299.93760000000003
25	0.00980673	0.0125134	306.8014	293.076	290.75350000000003
26	0.0125134	0.0159655	297.1554	282.521	279.13839999999993
27	0.0159655	0.0203681	284.27400000000006	268.248	264.9814
28	0.0203681	0.0259832	279.43000000000006	268.248	253.59100000000007
29	0.0259832	0.0331444	263.9052	240.808	236.23650000000006
30	0.0331444	0.0422777	260.024	240.808	218.88200000000006
31	0.0422777	inf	260.024	240.808	218.882
