time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.1342e-06	1441.26	33.2869	138.69
1	6.1342e-06	1.39576e-05	1441.26	33.2869	138.69
2	1.39576e-05	2.39354e-05	1441.26	121.264	138.69
3	2.39354e-05	3.66607e-05	1479.05	159.083	176.13759999999996
4	3.66607e-05	5.28903e-05	1414.4252999999999	150.321	232.30899999999994
5	5.28903e-05	7.35891e-05	492.6929999999999	103.487	159.703
6	7.35891e-05	9.99877e-05	243.73859999999996	69.9505	121.33390000000003
7	9.99877e-05	0.000133656	143.9898	55.8788	92.32342000000001
8	0.000133656	0.000176595	102.90670999999999	52.6863	79.43835
9	0.000176595	0.000231359	84.74432999999999	56.0102	73.788
10	0.000231359	0.000301203	80.96814	64.4538	75.2214
11	0.000301203	0.000390281	85.57243999999997	76.9752	83.4006
12	0.000390281	0.000503888	96.31208000000001	93.2142	96.80570000000002
13	0.000503888	0.000648779	110.01064000000001	113.338	115.88860000000003
14	0.000648779	0.00083357	128.39790000000002	136.863	138.01940000000002
15	0.00083357	0.00106925	151.899	162.649	162.03939999999997
16	0.00106925	0.00136982	175.77899999999997	189.691	184.94780000000003
17	0.00136982	0.00175317	201.04350000000002	217.261	210.75010000000003
18	0.00175317	0.00224208	227.1332	244.547	241.184
19	0.00224208	0.00286562	253.31350000000003	270.27	265.76189999999997
20	0.00286562	0.00366087	278.2566	292.4	287.4978
21	0.00366087	0.00467511	299.82550000000003	308.26	304.027
22	0.00467511	0.00596864	316.582	315.482	313.082
23	0.00596864	0.00761838	323.1128	313.903	313.7688
24	0.00761838	0.00972241	320.76879999999994	306.203	307.45700000000005
25	0.00972241	0.0124058	312.2736	295.762	296.3546
26	0.0124058	0.0158282	301.325	284.502	284.4984
27	0.0158282	0.020193	284.62179999999995	267.811	267.8556
28	0.020193	0.0257598	277.159	267.811	256.659
29	0.0257598	0.0328594	245.31339999999994	229.657	223.146
30	0.0328594	0.0419142	237.35199999999995	229.657	200.804
31	0.0419142	inf	237.352	229.657	200.804
