time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.1533e-06	4515.91	18.0566	89.13299999999998
1	7.1533e-06	1.62764e-05	4515.91	18.0566	89.13299999999998
2	1.62764e-05	2.79118e-05	4515.91	67.2645	89.13299999999998
3	2.79118e-05	4.27513e-05	1812.5440000000006	89.5251	102.91939999999998
4	4.27513e-05	6.16772e-05	1104.9266000000002	81.1	123.59899999999998
5	6.16772e-05	8.58147e-05	648.1120000000001	68.8707	98.79890000000002
6	8.58147e-05	0.000116599	389.3237999999999	59.9205	89.74279000000001
7	0.000116599	0.000155861	253.1622	57.2178	83.55298000000002
8	0.000155861	0.000205934	180.82679999999996	61.0159	83.02244999999999
9	0.000205934	0.000269796	147.0216	69.6003	87.72720000000002
10	0.000269796	0.000351243	136.49779999999998	81.9761	96.99470000000002
11	0.000351243	0.00045512	137.53349999999998	97.0451	109.16000000000001
12	0.00045512	0.000587601	144.719	113.89	122.93800000000003
13	0.000587601	0.000756564	156.5634	131.855	139.11660000000003
14	0.000756564	0.000972054	170.93559999999997	150.288	155.61509999999998
15	0.000972054	0.00124688	186.86540000000002	168.508	171.8216
16	0.00124688	0.0015974	203.86200000000005	186.038	186.06319999999997
17	0.0015974	0.00204443	223.41759999999996	202.671	201.1311
18	0.00204443	0.00261456	242.0928	218.312	217.772
19	0.00261456	0.0033417	262.6692	232.539	230.53269999999998
20	0.0033417	0.00426907	280.59049999999996	244.465	241.51139999999995
21	0.00426907	0.00545181	296.0242	252.887	249.81649999999993
22	0.00545181	0.00696024	307.29970000000003	256.804	254.52400000000003
23	0.00696024	0.00888406	313.2736	256.291	255.27519999999996
24	0.00888406	0.0113376	313.75870000000003	252.753	252.63350000000003
25	0.0113376	0.0144669	310.0088	248.034	247.867
26	0.0144669	0.0184578	303.3079	243.432	243.23839999999998
27	0.0184578	0.0235478	296.84899999999993	238.864	239.08959999999996
28	0.0235478	0.0300393	291.3152	238.864	237.47199999999995
29	0.0300393	0.0383185	287.626	239.336	239.12920000000005
30	0.0383185	0.0488775	287.626	239.336	240.23400000000007
31	0.0488775	inf	287.626	239.336	240.234
