left_time_boundary	im_N1	im_N2	m	M
0.0	2400.365481580752	120508.10757671155	8.657026155514902e-06	0.010042529681900114
582.954	2430.456264298532	122018.78722472653	8.657026155514902e-06	0.022704339114503536
1326.4399999999998	5439.133569195964	120147.74743410919	1.3661493166033551e-30	0.022704339114503536
2274.66	22620.099886575772	149390.42256136602	1.3661493166033551e-30	0.022704339114503536
3483.99	30084.254618009065	438685.77757564164	1.3661493166033551e-30	0.022704339114503536
5026.339999999999	43156.20744943016	372179.2089309656	3.858155296020031e-05	0.1603341654532081
6993.410000000001	60360.48960444602	359264.8296874007	1.750645733494176e-05	0.23094280158451108
9502.16	83307.10048416173	348565.5128470707	1.355355231414359e-05	0.2948346102134829
12701.800000000001	105800.80797436903	337686.5725052459	1.6810796329350494e-05	0.3852374475119663
16782.4	127496.81704762939	316322.87918463605	1.657089699095827e-05	0.4826327620829657
21986.8	143893.87021053061	290997.91281412577	1.540068359696766e-05	0.5782937960574269
28624.3	154798.64631597517	265209.8583345955	1.350061453694554e-05	0.6644628542775832
37089.700000000004	160514.90108496413	241476.50886589303	1.124284497562033e-05	0.7367857959377391
47886.1	160370.5331059	218515.2818931135	7.911926041657078e-06	0.7883187440630455
61655.6	155896.65565573657	197542.3060958809	4.82530894264857e-06	0.8213186168001162
79216.9	147966.92518241133	178735.24208690715	2.8877353780020677e-06	0.8429992721072137
101614.0	141981.2481694328	165489.47001195044	3.7178921020470946e-06	0.8730431498906746
130178.99999999999	138640.62837875975	154974.94713852086	4.373769170235082e-06	0.9076879722905458
166609.0	134680.41297687974	144703.62121659867	4.058252589067377e-06	0.9366891155900731
213072.0	127904.47120051584	133146.2502636991	3.465526750615691e-06	0.9580136810199027
272329.0	118834.41771768554	121664.31920662108	3.0848314183063717e-06	0.9736606139309663
347905.0	112628.67246250629	114210.62929457884	3.0461249360445728e-06	0.9853585317773221
444290.99999999994	104537.00361821176	106337.9821768788	2.7196995550565494e-06	0.9924977880874721
567220.0	23380.627701373178	22553.309976973604	2.32180220070215e-06	0.9963774666530425
724000.0	51735.85684461439	51110.29171821314	2.9426696128585053e-06	0.9988832950206121
923952.9999999999	68304.1720121562	67495.25272411718	3.0367978550675787e-06	0.9997627136859282
1178970.0	78988.86479665522	79132.50954122272	1.969407959593062e-06	0.9999340954819266
1504210.0	97189.50148891332	97593.7272712452	1.397536589536989e-07	0.9999413101168718
1919010.0000000002	97189.89351748905	97594.12093032684	1.397536589536989e-07	0.9999493771830811
2448030.0	154140.51258059844	154167.6941436867	1.454505749938319e-42	0.9999493771830811
3122740.0	154140.51258059844	154167.6941436867	1.454505749938319e-42	0.9999493771830811
3983239.9999999995	154140.51258059844	154167.6941436867	1.454505749938319e-42	0.9999493771830811
