time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.31583e-06	8196.88	56.9954	250.60200000000006
1	7.31583e-06	1.66462e-05	8196.88	56.9954	250.60200000000006
2	1.66462e-05	2.8546e-05	8196.88	83.0156	250.60200000000006
3	2.8546e-05	4.37226e-05	1680.5600000000002	103.328	217.26690000000002
4	4.37226e-05	6.30785e-05	1167.536	99.1391	139.48499999999999
5	6.30785e-05	8.77645e-05	772.9687999999999	85.5192	133.90140000000002
6	8.77645e-05	0.000119248	448.9806000000001	71.9969	114.20249999999997
7	0.000119248	0.000159402	294.44300000000004	68.324	98.77195
8	0.000159402	0.000210613	211.59000000000003	72.7168	91.55138000000001
9	0.000210613	0.000275926	171.63299999999998	82.5467	94.55252000000003
10	0.000275926	0.000359224	157.86260000000001	95.87	103.05774
11	0.000359224	0.00046546	156.3678	110.978	113.7744
12	0.00046546	0.000600951	162.37740000000002	126.911	126.99849999999998
13	0.000600951	0.000773753	173.33620000000005	143.183	140.03250000000003
14	0.000773753	0.00099414	186.66709999999995	159.224	154.83339999999998
15	0.00099414	0.00127522	202.59009999999998	174.579	169.34999999999994
16	0.00127522	0.00163369	218.0396	189.109	183.14700000000005
17	0.00163369	0.00209088	235.79639999999998	202.901	194.99179999999996
18	0.00209088	0.00267397	252.96200000000005	216.014	208.37980000000005
19	0.00267397	0.00341762	270.72339999999997	228.132	220.661
20	0.00341762	0.00436606	288.0054	238.369	230.2372
21	0.00436606	0.00557567	302.9374	245.536	237.41420000000002
22	0.00557567	0.00711838	314.04259999999994	248.699	241.39750000000004
23	0.00711838	0.00908591	319.0482	247.845	241.83580000000003
24	0.00908591	0.0115952	318.67289999999997	244.361	239.46599999999995
25	0.0115952	0.0147956	315.64599999999996	240.266	235.88840000000005
26	0.0147956	0.0188772	311.00620000000004	236.84	232.00470000000004
27	0.0188772	0.0240828	309.297	234.007	229.06620000000004
28	0.0240828	0.0307218	322.48580000000004	234.007	227.80200000000005
29	0.0307218	0.0391891	325.7830000000001	239.074	231.81099999999998
30	0.0391891	0.0499881	325.7830000000001	239.074	235.81999999999996
31	0.0499881	inf	325.783	239.074	235.82
