time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.27311e-06	1837470.0	604.303	1378.9799999999998
1	7.27311e-06	1.6549e-05	1837470.0	604.303	1378.9799999999998
2	1.6549e-05	2.83793e-05	1653971.689	67.1732	1378.9799999999998
3	2.83793e-05	4.34673e-05	2486.89	83.4585	857.7096000000003
4	4.34673e-05	6.27101e-05	3543.264999999999	76.168	75.80399999999999
5	6.27101e-05	8.72519e-05	2419.736	63.5094	104.95999999999997
6	8.72519e-05	0.000118552	1292.9810000000002	54.1015	100.91832000000002
7	0.000118552	0.000158471	578.8405000000001	53.1527	98.05416000000002
8	0.000158471	0.000209383	284.33490000000006	58.8896	99.60947999999998
9	0.000209383	0.000274314	169.65599999999998	69.6091	106.22680000000001
10	0.000274314	0.000357126	124.61699999999998	83.888	116.02719999999998
11	0.000357126	0.000462742	108.79000000000002	100.197	127.51299999999999
12	0.000462742	0.000597442	109.65140000000004	117.565	140.11520000000002
13	0.000597442	0.000769234	120.34049999999999	135.482	154.7925
14	0.000769234	0.000988334	135.0702	153.351	169.5442
15	0.000988334	0.00126777	152.8578	170.595	183.67760000000004
16	0.00126777	0.00162415	173.19899999999998	186.905	196.85000000000002
17	0.00162415	0.00207867	196.02999999999997	202.23	210.33299999999997
18	0.00207867	0.00265835	221.516	216.598	221.98849999999993
19	0.00265835	0.00339766	249.46869999999996	229.802	233.0316
20	0.00339766	0.00434056	281.27590000000004	241.091	243.07850000000002
21	0.00434056	0.00554311	310.62930000000006	249.258	251.27139999999994
22	0.00554311	0.00707681	330.7190000000001	253.207	256.43399999999997
23	0.00707681	0.00903284	341.2122	252.768	257.7975
24	0.00903284	0.0115275	339.8665	249.124	254.97570000000002
25	0.0115275	0.0147092	329.6924	244.223	250.2802
26	0.0147092	0.0187669	301.1207	239.452	244.00260000000003
27	0.0187669	0.0239421	290.957	232.563	234.70650000000003
28	0.0239421	0.0305424	202.69400000000005	232.563	228.86400000000006
29	0.0305424	0.0389602	192.88700000000003	221.397	215.47719999999995
30	0.0389602	0.0496961	192.88700000000003	221.397	209.73999999999998
31	0.0496961	inf	192.887	221.397	209.74
