left_time_boundary	im_N1	im_N2	m	M
0.0	42934.59994136282	21823.43428980477	6.649556145480462e-06	0.0070159290844856725
529.408	43313.05550858697	22015.801290177584	6.649556145480462e-06	0.015892471201238045
1204.6	44537.645255507945	12801.139981326203	0.0001453113059449337	0.23377625317905593
2065.72	50617.15094324767	6333.448510874454	5.375111961999908e-05	0.3191045191120381
3163.98	68465.00837935311	9179.54571248495	8.213845259222451e-05	0.4590594195826926
4564.66	105507.92956026747	15926.263484920379	2.896599735975383e-05	0.5122415499535495
6351.05	166604.9376093817	26376.465129968965	9.595359478486823e-07	0.5143694919688382
8629.359999999999	277364.48039632535	46554.027726522276	1.0151076130230078e-05	0.5421895255173816
11535.1	396180.3851360169	77065.39267667776	2.069965848805271e-30	0.5421895255173816
15240.9	448279.3349137958	125723.54812809495	7.119083204872518e-23	0.5421895255173816
19967.3	466324.4201677743	168474.25740319988	1.7537565072034406e-24	0.5421895255173816
25995.100000000002	491557.5466159817	218316.52826998435	1.839033428522533e-05	0.6549487821801511
33682.9	467875.09071746294	242091.94350422607	8.402606897372115e-06	0.7073664618283186
43487.700000000004	418033.7476652176	246386.0101496998	7.177447070144722e-06	0.7554505694327088
55992.399999999994	365926.9659287642	238518.82944426226	6.080066436025749e-06	0.7985612777047671
71940.6	312258.48906761245	225470.3314019659	5.392362102078959e-06	0.8382381785222692
92280.5	266212.1092401592	215404.15955718796	6.452517092079041e-06	0.8842596788041028
118222.00000000001	230339.733388289	208411.6226232459	8.406534850919178e-06	0.9336392695081326
151306.0	200701.9460607595	192962.14335868528	7.875921350848763e-06	0.965860452245757
193501.0	176589.511870041	174929.82059840354	7.296783422531797e-06	0.9844335452211329
247315.0	156179.8133323878	156033.97736725165	6.65268676989041e-06	0.9937541499153927
315949.0	137942.53836324115	137613.59909788496	6.032390227548435e-06	0.9978275602838326
403481.99999999994	122616.7034257887	122264.57410180342	5.379499317510347e-06	0.999346394618241
515119.0	109192.3783123517	109103.27751393667	4.632483770874163e-06	0.9998252497697092
657499.0	99009.96231529984	99452.29321301673	4.0162080852296715e-06	0.9999593590839426
839086.0	106942.68552868496	107136.26553805853	3.5232660790576047e-06	0.9999920526322345
1070680.0	135594.46383280234	137634.59539401656	2.2753348289704335e-06	0.9999979275012912
1366040.0	163061.5374277436	163744.87754607692	2.3680280206927772e-07	0.9999982661441318
1742739.9999999998	163061.5661962883	163744.90643518165	2.3680280206927772e-07	0.999998618998891
2223180.0	190854.91367301712	191087.6715458765	1.0270105422598705e-31	0.999998618998891
2835910.0	190854.91367301712	191087.6715458765	1.0270105422598705e-31	0.999998618998891
3617370.0	190854.91367301712	191087.6715458765	1.0270105422598705e-31	0.999998618998891
