left_time_boundary	im_N1	im_N2	m	M
0.0	42699.476763052924	22292.984890557513	8.118657400464516e-06	0.008618724048073623
533.098	43160.265352079085	22533.558167600335	8.118657400464516e-06	0.019503166527275795
1213.0	44311.700018440846	15010.431997075842	0.0001804437041401431	0.2829635137659591
2080.12	51048.91674517552	6031.518518162799	4.617208125544163e-05	0.35257536440360204
3186.0299999999997	51051.587611227464	9360.207039555375	8.859412203791283e-05	0.4957424068418861
4596.48	82515.35551912163	15214.861950509374	2.3187722879343654e-05	0.536101755192393
6395.32	144775.96218581925	27277.18848414409	1.55890357020683e-05	0.5681248694633483
8689.52	261577.81647179235	48084.30211815977	1.0270105422598705e-31	0.5681248694633483
11615.5	384367.40197462146	81216.51442457008	5.002938598396641e-22	0.5681248694633483
15347.2	453688.59432813106	126076.10247407484	2.0493847163322853e-26	0.5681248694633483
20106.5	472591.868735021	180619.70961065963	4.52572915719201e-34	0.5681248694633483
26176.3	494539.0276901338	233376.819497101	1.95525559593347e-05	0.6809307437764098
33917.700000000004	465478.43720448215	255735.98743772737	9.177059982325102e-06	0.7338137846539993
43790.799999999996	416864.22459438536	258926.72117096846	7.898147082790164e-06	0.7818264678776836
56382.700000000004	364093.1107067111	249403.68613596985	6.381998192675555e-06	0.8222623402547287
72442.1	316846.4253071748	236742.39821907386	6.078648535244132e-06	0.8614395725043122
92923.8	271747.3539315999	226960.3181720328	7.408897553006852e-06	0.9059117545977399
119046.0	235127.7021300633	216367.75583176102	8.450102059198158e-06	0.9464185555470415
152361.0	205128.43346949405	199238.02717600297	7.773840936443688e-06	0.9723231211117526
194850.0	179773.3648685239	178760.0939773979	7.248403425908515e-06	0.9873831919027859
249038.99999999997	158299.88583815665	158382.41675017355	6.709744684407591e-06	0.9950092701993053
318151.0	140211.0226694419	140019.85705591552	6.161822130875658e-06	0.9983157183110576
406294.0	124984.28794974074	124674.1741934791	5.523716395538576e-06	0.9995135246414452
518710.0	111877.00597918857	111774.83080135277	4.74642465617014e-06	0.9998752667498501
662082.0	102530.94240910694	102924.34746181246	4.11258990140152e-06	0.9999722793213651
844934.9999999999	108517.98261538566	108711.94023574582	3.558780757571051e-06	0.9999947284326792
1078140.0	137075.15050053672	139132.07822936762	2.303768236307919e-06	0.9999986609582784
1375560.0	167413.75373556913	168111.14579348997	2.3155370838350675e-07	0.9999988766855016
1754890.0	167413.7726089713	168111.16474551274	2.3155370838350675e-07	0.9999991021555262
2238670.0	194699.92996390606	194967.741263008	1.0270105422598705e-31	0.9999991021555262
2855680.0	194699.92996390606	194967.741263008	1.0270105422598705e-31	0.9999991021555262
3642589.9999999995	194699.92996390606	194967.741263008	1.0270105422598705e-31	0.9999991021555262
