left_time_boundary	im_N1	im_N2	m	M
0.0	38164.444795791525	21086.114064614787	1.5486161519590014e-05	0.017366463972312562
565.635	38978.91888667992	21536.116512574936	1.5486161519590014e-05	0.03907825960507805
1287.03	41834.56830689039	10585.25831360976	0.00024406866572609823	0.3867441525598868
2207.08	51562.386963830446	5996.748508416103	4.550598881786735e-05	0.44886005327489253
3380.48	67667.16589222089	8293.513881382296	3.26054259096235e-05	0.5001046544432153
4877.01	109629.4840825335	14867.377357918289	4.579001122448187e-06	0.5087665671075163
6785.650000000001	191907.22797966655	28209.91465825907	3.906199639286094e-06	0.5180201348400372
9219.869999999999	314405.3723007706	52019.200439253036	1.3661493166033551e-30	0.5180201348400372
12324.4	432228.09798519337	91285.233726712	1.0405590301223602e-21	0.5180201348400372
16283.8	496392.00969053735	136875.19712511907	3.864697308022937e-27	0.5180201348400372
21333.6	528235.1224485107	181920.26804222824	7.14894784289772e-21	0.5180201348400373
27774.0	558972.6499687436	231116.42173038606	1.6893251801967754e-05	0.6348213242715897
35987.799999999996	518424.6056270348	250539.00935303274	7.482794829679067e-06	0.6878100774431986
46463.5	452633.3006807976	251959.6119878951	6.643784816944332e-06	0.7385914567260621
59823.899999999994	390140.36748294765	242100.01348901456	5.616341368270217e-06	0.784128340382141
76863.5	328962.47258332296	227359.755636246	4.874957550513694e-06	0.8253468804775002
98595.2	277401.5688873694	215086.2108528145	5.374673879794405e-06	0.8703452614600965
126311.0	236796.1759702939	206674.60874545673	6.896253926732402e-06	0.92037535146241
161660.0	205099.45269310984	193413.3688885667	6.9859430084796515e-06	0.9575874998140184
206742.0	179547.0828696679	175795.6744003948	6.414058820664414e-06	0.9797153416408757
264239.0	158249.32426837785	157006.37088811494	5.857882297902421e-06	0.9914087191297973
337569.0	140006.09080906396	139401.71170633612	5.274544668774928e-06	0.9967967518093926
431092.0	122953.34854812721	122599.48066070036	4.612556607550958e-06	0.9989340978544742
550369.0	107260.45423039683	107259.8521367008	3.866145625764516e-06	0.9996712409226555
702491.0	96260.95028210127	96722.31956459464	3.375056334673332e-06	0.9999112595705385
896504.0	108545.28654583804	108684.23757035339	2.8965200914129983e-06	0.9999788358461421
1143940.0	136929.04468071018	138986.63280344647	1.7007456559140775e-06	0.9999927654637013
1459520.0	165724.43705430187	166565.10842104073	1.3665847033141296e-07	0.9999935190852577
1862000.0	165724.50735047902	166565.17907380976	1.3665847033141296e-07	0.9999943674326788
2375310.0	191407.32995112782	191549.28226938687	1.3661493166033551e-30	0.9999943674326788
3029970.0	191407.32995112782	191549.28226938687	1.3661493166033551e-30	0.9999943674326788
3864910.0	191407.32995112782	191549.28226938687	1.3661493166033551e-30	0.9999943674326788
