time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.39949e-06	89.89779999999998	90.9964	186.68499999999997
1	6.39949e-06	1.45612e-05	89.89779999999998	90.9964	186.68499999999997
2	1.45612e-05	2.49705e-05	89.89779999999998	287.766	186.68499999999997
3	2.49705e-05	3.82462e-05	99.65481999999997	209.272	172.92849999999999
4	3.82462e-05	5.51776e-05	187.46800000000005	165.903	140.83
5	5.51776e-05	7.67716e-05	123.17341999999998	119.086	97.48136000000002
6	7.67716e-05	0.000104312	79.93608	80.2713	71.72706
7	0.000104312	0.000139436	53.69482000000001	57.958	56.7259
8	0.000139436	0.000184232	42.556230000000006	47.5736	47.78098
9	0.000184232	0.000241365	40.50081	45.7781	45.1211
10	0.000241365	0.000314229	43.7643	50.8635	48.46845
11	0.000314229	0.000407159	53.10576	61.9822	57.01633999999999
12	0.000407159	0.000525679	65.42708000000002	78.4367	71.65771999999998
13	0.000525679	0.000676837	83.18852	99.617	89.10430000000001
14	0.000676837	0.000869619	104.59471999999998	124.718	112.22149999999999
15	0.000869619	0.00111549	126.32099999999997	152.548	138.42
16	0.00111549	0.00142906	151.83459999999997	181.963	166.58980000000005
17	0.00142906	0.00182899	178.14899999999997	211.925	195.63200000000003
18	0.00182899	0.00233904	204.42499999999998	241.284	224.52599999999995
19	0.00233904	0.00298955	229.56720000000004	268.381	254.24869999999999
20	0.00298955	0.00381919	251.9674	290.739	277.4926
21	0.00381919	0.00487729	270.2639	305.353	294.11459999999994
22	0.00487729	0.00622677	279.9112	310.241	302.01699999999994
23	0.00622677	0.00794785	280.05760000000004	306.335	300.01500000000004
24	0.00794785	0.0101429	274.0804	297.056	291.7176
25	0.0101429	0.0129424	264.118	285.959	280.6186
26	0.0129424	0.0165127	254.78900000000007	275.273	269.31499999999994
27	0.0165127	0.0210663	247.02839999999995	262.666	256.579
28	0.0210663	0.0268738	240.5401	262.666	247.243
29	0.0268738	0.0342805	239.5684	245.782	239.68699999999995
30	0.0342805	0.0437268	237.97799999999998	245.782	228.35299999999995
31	0.0437268	inf	237.978	245.782	228.353
