time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.90556e-06	4424.28	11.6424	304.25900000000007
1	6.90556e-06	1.57127e-05	4424.28	11.6424	304.25900000000007
2	1.57127e-05	2.69451e-05	4424.28	23.4629	304.25900000000007
3	2.69451e-05	4.12707e-05	2195.592	46.2989	175.50139999999996
4	4.12707e-05	5.95411e-05	1398.1029999999996	51.1491	93.3161
5	5.95411e-05	8.28426e-05	890.0875000000002	48.125	101.83999999999999
6	8.28426e-05	0.000112561	504.74260000000004	46.1844	98.93190000000003
7	0.000112561	0.000150463	286.05219999999997	48.2657	96.99239999999999
8	0.000150463	0.000198802	196.99929999999995	53.4683	98.72313999999999
9	0.000198802	0.000260452	153.2204	62.6264	104.46994000000001
10	0.000260452	0.000339079	138.71419999999998	75.7555	114.25539999999998
11	0.000339079	0.000439357	137.29250000000002	91.7909	128.649
12	0.000439357	0.00056725	144.4514	109.864	144.0899
13	0.00056725	0.000730361	155.513	129.356	162.35099999999997
14	0.000730361	0.000938389	170.82689999999994	149.565	180.9229
15	0.000938389	0.0012037	188.21640000000002	169.825	199.1832
16	0.0012037	0.00154207	206.79569999999998	189.754	218.56400000000005
17	0.00154207	0.00197362	227.89149999999998	209.0	235.768
18	0.00197362	0.00252401	249.6277	226.954	252.1578
19	0.00252401	0.00322596	269.62980000000005	242.763	267.07559999999995
20	0.00322596	0.00412121	288.59400000000005	255.475	279.5874
21	0.00412121	0.00526299	304.80179999999996	264.109	288.69419999999997
22	0.00526299	0.00671918	316.40450000000004	267.875	293.5319
23	0.00671918	0.00857637	322.2432	266.885	292.85
24	0.00857637	0.010945	322.2764000000001	262.758	288.9296
25	0.010945	0.0139658	318.22900000000004	257.812	283.4185
26	0.0139658	0.0178186	310.71139999999997	253.389	277.6602
27	0.0178186	0.0227322	305.435	248.447	270.9074
28	0.0227322	0.028999	285.326	248.447	269.733
29	0.028999	0.0369914	271.92	242.923	276.68
30	0.0369914	0.0471847	271.92	242.923	276.68
31	0.0471847	inf	271.92	242.923	276.68
