time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.42932e-06	1158.1899999999998	7.26471	3822.1700000000005
1	5.42932e-06	1.23537e-05	1158.1899999999998	7.26471	3822.1700000000005
2	1.23537e-05	2.11849e-05	1158.1899999999998	99.3483	4619.955
3	2.11849e-05	3.2448e-05	1192.9039999999998	625.549	5194.321000000001
4	3.2448e-05	4.68127e-05	1505.3299999999997	1309.98	4448.418
5	4.68127e-05	6.5133e-05	850.0326999999997	1343.8	3658.4889999999996
6	6.5133e-05	8.84981e-05	445.98779999999994	891.881	2758.5959999999995
7	8.84981e-05	0.000118297	239.076	489.922	1873.011
8	0.000118297	0.000156303	146.2459	273.936	1122.8103999999998
9	0.000156303	0.000204774	104.76151999999999	174.059	697.9966
10	0.000204774	0.000266592	87.43159999999997	130.925	445.8290000000001
11	0.000266592	0.000345434	82.89393	114.993	319.23
12	0.000345434	0.000445986	86.68537	113.033	256.9279
13	0.000445986	0.000574228	96.58296000000001	119.532	228.46220000000005
14	0.000574228	0.000737784	110.1956	131.995	219.02399999999994
15	0.000737784	0.00094638	127.0404	149.031	222.36059999999998
16	0.00094638	0.00121242	146.5095	169.365	234.0878
17	0.00121242	0.00155171	167.9418	192.225	254.24740000000003
18	0.00155171	0.00198444	190.87219999999994	217.272	278.824
19	0.00198444	0.00253633	214.889	243.989	309.1798
20	0.00253633	0.0032402	239.2862	271.052	344.65839999999986
21	0.0032402	0.00413789	264.4871999999999	295.99	382.9374
22	0.00413789	0.00528279	283.4664000000001	315.217	420.9789
23	0.00528279	0.00674296	296.36839999999995	325.443	445.2662000000001
24	0.00674296	0.00860521	300.043	326.163	445.41170000000005
25	0.00860521	0.0109803	296.83500000000004	319.651	400.6145
26	0.0109803	0.0140094	288.7026000000001	308.274	366.549
27	0.0140094	0.0178726	277.2502	287.161	282.9039
28	0.0178726	0.0227997	259.8575	287.161	247.056
29	0.0227997	0.0290836	257.40020000000004	268.323	247.056
30	0.0290836	0.0370978	254.31700000000004	268.323	247.056
31	0.0370978	inf	254.317	268.323	247.056
