time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.71818e-06	1205.06	9.17337	3904.389999999999
1	5.71818e-06	1.3011e-05	1205.06	9.17337	3904.389999999999
2	1.3011e-05	2.23121e-05	1205.06	232.327	5450.949999999999
3	2.23121e-05	3.41744e-05	1187.723	879.405	5800.275
4	3.41744e-05	4.93033e-05	1031.69	1318.15	4688.036000000001
5	4.93033e-05	6.85983e-05	565.546	1070.24	3612.306
6	6.85983e-05	9.32066e-05	287.49800000000005	625.734	2565.222
7	9.32066e-05	0.000124591	157.41379999999998	338.367	1583.44
8	0.000124591	0.000164619	104.35600000000001	197.091	925.244
9	0.000164619	0.000215668	82.21884999999999	132.164	585.1934000000001
10	0.000215668	0.000280776	73.44057000000001	105.026	388.1217
11	0.000280776	0.000363812	72.73777000000001	96.8671	290.78759999999994
12	0.000363812	0.000469714	78.51395000000001	99.3919	244.20419999999993
13	0.000469714	0.000604779	90.30692	108.99	224.33999999999995
14	0.000604779	0.000777037	105.9995	123.85	222.19879999999998
15	0.000777037	0.000996731	124.7468	142.781	229.5385
16	0.000996731	0.00127692	145.7385	164.757	245.65750000000006
17	0.00127692	0.00163427	168.32139999999998	189.077	266.62879999999996
18	0.00163427	0.00209002	191.95570000000004	215.14	293.1032
19	0.00209002	0.00267128	215.9652	242.0	324.63840000000005
20	0.00267128	0.00341259	239.35310000000004	268.03	360.13749999999993
21	0.00341259	0.00435805	262.1135999999999	290.749	402.6656
22	0.00435805	0.00556385	277.9152	307.088	432.4181000000001
23	0.00556385	0.00710171	286.9608	314.9	449.83459999999997
24	0.00710171	0.00906304	288.7345	314.643	448.2512
25	0.00906304	0.0115645	284.6482	308.617	399.5447
26	0.0115645	0.0147547	277.2819	299.045	380.417
27	0.0147547	0.0188235	268.4072	283.03	154.1084
28	0.0188235	0.0240127	257.4085	283.03	128.963
29	0.0240127	0.0306309	257.11400000000003	238.093	128.963
30	0.0306309	0.0390716	260.086	238.093	128.963
31	0.0390716	inf	260.086	238.093	128.963
