time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	5.52926e-06	1528.07	0.848036	3957.5399999999995
1	5.52926e-06	1.25811e-05	1528.07	0.848036	3957.5399999999995
2	1.25811e-05	2.15749e-05	1528.07	130.033	5085.450000000001
3	2.15749e-05	3.30453e-05	1505.356	653.067	5749.3
4	3.30453e-05	4.76744e-05	1414.5000000000002	1182.93	4590.53
5	4.76744e-05	6.63319e-05	671.4928000000001	1128.91	3566.2340000000004
6	6.63319e-05	9.01272e-05	354.62599999999986	733.463	2425.246
7	9.01272e-05	0.000120475	196.98049999999998	410.877	1596.2299999999998
8	0.000120475	0.00015918	128.4298	237.655	968.0480000000002
9	0.00015918	0.000208543	99.46912	158.955	625.1859999999999
10	0.000208543	0.000271499	89.74776000000001	127.301	418.6637999999999
11	0.000271499	0.000351792	89.99080000000002	117.559	313.9299
12	0.000351792	0.000454196	97.28478	118.855	263.36159999999995
13	0.000454196	0.000584798	107.52999999999999	127.199	241.71659999999994
14	0.000584798	0.000751365	121.82299999999998	140.785	236.65019999999996
15	0.000751365	0.0009638	138.89849999999998	158.256	242.3374
16	0.0009638	0.00123473	158.12139999999997	178.308	256.023
17	0.00123473	0.00158028	178.8272	200.155	273.93399999999997
18	0.00158028	0.00202097	200.54420000000005	223.44	296.6684
19	0.00202097	0.00258302	222.83990000000006	247.674	324.17150000000004
20	0.00258302	0.00329985	246.99020000000002	271.719	355.91300000000007
21	0.00329985	0.00421406	267.48679999999996	293.5	392.5842
22	0.00421406	0.00538003	284.2703	310.089	424.7342
23	0.00538003	0.00686708	295.808	318.898	440.4088
24	0.00686708	0.00876362	299.3668	319.474	430.1820000000001
25	0.00876362	0.0111824	297.1952	313.567	360.647
26	0.0111824	0.0142673	291.2424	303.185	322.063
27	0.0142673	0.0182016	281.6511	283.51	119.62419999999997
28	0.0182016	0.0232194	269.374	283.51	69.01449999999998
29	0.0232194	0.0296189	265.8979	255.021	69.01449999999998
30	0.0296189	0.0377807	257.7869999999999	255.021	69.01449999999998
31	0.0377807	inf	257.787	255.021	69.0145
