left_time_boundary	im_N1	im_N2	m	M
0.0	37870.31561046595	11382.543196730112	1.3661493166033551e-30	0.0
552.427	37870.31561046595	11382.543196730112	1.3661493166033551e-30	0.0
1256.98	38141.37649190704	8335.260742076382	2.759093249204214e-05	0.04837498786139338
2155.54	38625.91422225981	8102.259175835188	0.00010779313662110056	0.2566945696886641
3301.55	34563.62194648877	9895.518846074818	0.0001225282222755738	0.4804633071374955
4763.13	88705.44070668184	11656.26689325952	1.9457474402637718e-05	0.5168159486872455
6627.19	211308.0402953159	16151.276748040518	2.868666261425638e-32	0.5168159486872455
9004.57	495200.4093341446	24724.728683364854	8.263021911830549e-28	0.5168159486872455
12036.6	691640.0527389904	42433.77939288303	9.145079305510675e-29	0.5168159486872455
15903.6	702337.1332183183	69157.05723031246	1.119330129429033e-36	0.5168159486872455
20835.4	606375.8820062284	108834.09955039986	3.1398403001726046e-29	0.5168159486872455
27125.4	527121.7696724535	151112.98999237714	3.2470200048676883e-37	0.5168159486872455
35147.4	493428.2201297361	203666.35923116212	1.3052641443095925e-05	0.6300707097472948
45378.5	437242.37654142757	234591.24791245552	8.644309219116211e-06	0.7047798520505568
58427.0	383205.28612142766	243670.53675184204	7.078921866401268e-06	0.7667496897149546
75068.59999999999	331406.9814921372	239743.6486159913	6.187706736519481e-06	0.8206296465944793
96292.9	284351.4253431575	230639.9739328099	5.989440452903764e-06	0.8703037527673347
123361.99999999999	245358.6838437587	220566.0528866522	6.7618224245924236e-06	0.9186859868179974
157885.0	214107.80581300522	205054.46049551183	6.950200409434011e-06	0.95590715087655
201914.0	187314.70517395056	184510.49953448938	6.5368983950536666e-06	0.9788394508449447
258069.0	162034.73703064548	161076.051819282	5.890071260350289e-06	0.9908981281310358
329686.0	139693.77877719255	139107.2278560163	5.120469830281886e-06	0.9964281527297925
421024.99999999994	118947.76284468343	118588.78584194723	4.275282598368938e-06	0.9986808198255303
537517.0	96639.4422407628	96757.66346839991	3.483790898276603e-06	0.9995314737569446
686087.0	86033.52742020077	86544.12900685126	3.2202184840554936e-06	0.9998617248919108
875569.0	122398.61601264523	122320.86559059336	2.812005507365273e-06	0.9999644783946863
1117230.0	149635.4302353227	151819.10528757403	1.543616415559658e-06	0.999986283148947
1425440.0	171054.39059482215	171686.0369276808	1.9995766547132934e-07	0.9999882784812424
1818519.9999999998	171054.57271831107	171686.21972369053	1.9995766547132934e-07	0.9999904078907355
2319840.0	194983.57041091332	195242.27205223375	1.3661493166033551e-30	0.9999904078907355
2959210.0	194983.57041091332	195242.27205223375	1.3661493166033551e-30	0.9999904078907355
3774650.0	194983.57041091332	195242.27205223375	1.3661493166033551e-30	0.9999904078907355
