left_time_boundary	im_N1	im_N2	m	M
0.0	12444.050215685222	183472.5913266519	1.0270105422598705e-31	0.0
695.259	12444.050215685222	183472.5913266519	1.0270105422598705e-31	0.0
1581.97	12457.586884791517	183382.20805486297	1.0270105422598705e-31	0.0
2712.87	26599.70065796592	206348.99929689773	4.444096782793227e-05	0.12031844350211496
4155.179999999999	61122.38032886391	242846.97066320377	3.328146058922491e-05	0.22169474011279744
5994.66	104467.4126355285	308160.67624094157	1.4888190665213937e-05	0.2742086852733633
8340.69	176862.06692989793	387736.04393887456	1.5593166634435974e-05	0.33886853559761054
11332.699999999999	270754.9091236938	446829.225779207	1.911501953780852e-05	0.42861292017282426
15148.7	342902.21990086173	470428.13968495524	1.756728673016094e-05	0.5184209354003925
20015.6	382746.36774892686	459766.8288488408	1.6008307016395254e-05	0.605214215831507
26222.6	383468.1345484999	425118.4175978187	1.2906779126551153e-05	0.6781781893202998
34138.799999999996	362071.83476590714	378970.1956834312	9.701567142855525e-06	0.7354315296214147
44235.0	334656.5005558511	337668.2381076844	8.039160927036329e-06	0.7849072820402607
57111.399999999994	302023.44620459375	296898.5017091837	4.603331863358226e-06	0.8150888372415318
73533.59999999999	269423.6951754593	263436.85720643966	2.8175856535202085e-06	0.8356743340935486
94478.0	238696.92403796758	232511.64013417868	2.1160479872831333e-06	0.8532394306645644
121189.99999999999	218510.2539122352	216930.2770993847	5.0234240925896e-06	0.895777664884133
155258.0	204395.65521784825	205614.20453967733	6.4578277472458956e-06	0.9405370077952088
198707.0	190695.43358133023	192534.8317862686	6.500251460457114e-06	0.9710677389758556
254120.0	178267.38602468083	179565.40441196717	6.231882769565161e-06	0.9880097585647472
324794.0	167034.33515573878	167377.45613485563	5.926516590022946e-06	0.9958804999349216
414928.0	158534.03936095096	158278.5413041635	5.494250262970473e-06	0.9988352135725773
529884.0	152547.52209711555	152073.41467100612	4.954429373999583e-06	0.9997275254173184
676495.0	149690.9488232623	149132.66022702382	4.295891794319385e-06	0.9999453457016186
863478.0	151264.63602723504	150694.21950975282	3.535604023205337e-06	0.9999898776814921
1101950.0	159786.95979032296	159291.0624999025	2.587764122708122e-06	0.9999979027943341
1406100.0	179895.37802662523	181384.22512073506	1.597936090264996e-06	0.9999993928874207
1793990.0000000002	194077.29410506992	194831.2289458808	2.1525893908328983e-07	0.9999995093491658
2288700.0	194077.30543045682	194831.24031526357	2.1525893908328983e-07	0.9999996260592032
2919650.0	200913.724992995	201133.84328802305	1.0270105422598705e-31	0.9999996260592032
3724330.0	200913.724992995	201133.84328802305	1.0270105422598705e-31	0.9999996260592032
4750610.0	200913.724992995	201133.84328802305	1.0270105422598705e-31	0.9999996260592032
