68,39,GC68,10967.74194,946.6019417
70,33,GC68,11290.32258,800.9708738
73,21,GC68,11774.19355,509.7087379
75,29,GC68,12096.77419,703.8834951
76,7,GC68,12258.06452,169.9029126
79,5,GC68,12741.93548,121.3592233
82,23,GC68,13225.80645,558.2524272
84,64,GC68,13548.3871,1553.398058
86,66,GC68,13870.96774,1601.941748
87,87,GC68,14032.25806,2111.650485
88,48,GC68,14193.54839,1165.048544
90,84,GC68,14516.12903,2038.834951
91,70,GC68,14677.41935,1699.029126
92,34,GC68,14838.70968,825.2427184
93,42,GC68,15000,1019.417476
95,9,GC68,15322.58065,218.4466019
98,9,GC68,15806.45161,218.4466019
101,11,GC68,16290.32258,266.9902913
106,18,GC68,17096.77419,436.8932039
108,21,GC68,17419.35484,509.7087379
112,8,GC68,18064.51613,194.1747573
115,6,GC68,18548.3871,145.631068
122,7,GC68,19677.41935,169.9029126
127,6,GC68,20483.87097,145.631068
129,3,GC68,20806.45161,72.81553398
135,5,GC68,21774.19355,121.3592233
140,4,GC68,22580.64516,97.08737864
148,4,GC68,23870.96774,97.08737864
154,5,GC68,24838.70968,121.3592233
