BP,precip_raw,precip
0,127.427184475,123.52481122708
100,127.427184475,123.52481122708
200,127.427184475,123.52481122708
300,127.427184475,123.52481122708
400,127.427184475,123.52481122708
500,127.562028056788,121.094255670999
600,128.398058261701,120.220806372641
700,123.560544774594,120.904463332004
800,114.050701192436,123.114279948263
900,104.540857610278,126.561421268652
1000,103.121628914196,130.382888367461
1100,118.692691491414,133.602413718539
1200,134.263754068632,136.787351691089
1300,149.525350637592,140.404935294615
1400,161.898597678886,144.455164529118
1500,165.776699044881,148.115493547941
1600,160.593311772486,149.698894299835
1700,155.409924500092,149.787891059558
1800,150.226537227698,148.413430427936
1900,145.043149955304,145.864347357736
2000,139.724919102429,142.990156416487
2100,134.526699010348,140.846278314837
2200,135.15372166586,140.054679069584
2300,135.780744321372,140.178465477734
2400,136.407766976884,140.902103557678
2500,137.034789632395,141.814320383794
2600,139.154530755987,143.111448215443
2700,147.493932047559,144.615493521864
2800,151.464401309205,147.094053390294
2900,152.27953075474,151.034182844639
3000,148.847087363592,157.921318768565
3100,147.497977326835,167.412014559151
3200,150.194174730073,178.702265364096
3300,160.56634300567,192.228964386393
3400,175.809061520332,208.489684441952
3500,205.906148871657,228.354166633007
3600,234.061488661846,247.387742703135
3700,260.396440097011,263.173341425207
3800,286.731391532176,274.943365711987
3900,314.886731310325,284.122168294024
4000,347.491909274146,291.54530744829
4100,337.833738028109,301.561488690194
4200,308.050161950792,314.74817964818
4300,278.266585873476,329.721885173175
4400,267.597087340698,341.688915917173
4500,280.137540414318,347.291666736008
4600,334.223301080883,355.741302644062
4700,392.263349676876,371.817354385293
4800,436.468446782128,399.900889950121
4900,434.557038750299,434.803802546225
5000,403.5194174625,470.579490260923
5100,422.330097108649,489.189927121003
5200,468.810679363104,500.211367258138
5300,559.10194152175,513.239279887648
5400,616.626213301747,535.87682038348
5500,637.89441756129,568.623584145755
5600,520.327669681691,600.994134324393
5700,502.477751048221,627.596076124951
5800,566.747573077231,643.556836681598
5900,660.932443708623,657.590008239962
