left_time_boundary	im_N1	im_N2	m	M
0.0	22.864064526720444	19.56781922795501	1.0270105422598705e-31	0.0
677.3	22.864064526720444	19.56781922795501	1.0270105422598705e-31	0.0
1541.11	1.0000000171251442	1.0000000012527575	5.549593942975873e-17	1.2223555501122974e-13
2642.79	1.039178341839575	1.039179302448638	2.7662185109052923e-07	0.0007770330172398587
4047.84	16806190.85630958	15820921.359260015	0.0010407477160072444	0.976025264830181
5839.8099999999995	16058695.555224609	15086245.860438084	1.819641549785954e-05	0.9779386398052726
8125.23	16623619.391705044	15648433.986713354	2.4794329731642895e-16	0.9779386398053045
11040.0	16870536.310085054	15908645.481567135	9.426274799098614e-16	0.9779386398054591
14757.4	16914047.98733929	15958747.517781867	6.549988684049968e-20	0.9779386398054591
19498.5	16911456.470147662	15953869.35487943	2.119425217056883e-20	0.9779386398054591
25545.199999999997	16894047.03911326	15929219.33316993	2.349729274005861e-16	0.9779386398055391
33257.0	16879650.95307444	15907637.982385041	6.291230186872929e-21	0.9779386398055391
43092.299999999996	16866404.857967056	15888990.830850726	2.992784860483925e-19	0.9779386398055393
55636.1	16856599.995995034	15875806.284526607	7.904576278767193e-18	0.9779386398055449
71634.1	16852581.180854835	15870394.273379492	7.018685344510038e-22	0.9779386398055449
92037.5	16859267.966165964	15877634.288668474	1.764196898016288e-21	0.9779386398055449
118059.0	13789033.591551786	12805609.503783146	2.3912597419515847e-21	0.9779386398055449
151247.0	10961946.700110402	9982772.383433793	3.1944414452418535e-21	0.9779386398055449
193574.0	13995802.374685438	13020642.704107402	3.820399299913131e-21	0.9779386398055449
247556.0	16711326.202229258	15746720.272837937	4.132214526761748e-21	0.9779386398055449
316404.0	16634431.948500514	15677939.32045664	6.668078041226546e-18	0.9779386398055707
404210.0	16616344.662554953	15667621.508371618	9.220755418246703e-07	0.9820550530645357
516196.0	5179624.883696135	4284476.223479618	2.0103608942680175e-23	0.9820550530645357
659020.0	16984797.387583517	16086924.259130826	3.619593892319101e-23	0.9820550530645357
841172.9999999999	325.034993760405	325.03390501799356	4.2418608051400364e-07	0.98526512265353
1073490.0	2.000109785011956	2.000109484053513	7.555734129007714e-06	0.9998325396250705
1369770.0	2659656.972389217	2659656.407314901	2.992784860483925e-19	0.9998325396250705
1747649.9999999998	2526355.737929864	2525203.2851670943	4.907668258990439e-08	0.9998402765784068
2229580.0	2526367.5510944026	2525215.0929427976	4.907668258990439e-08	0.9998496277722564
2844230.0	2824678.2159113917	2824441.30933536	3.274773372474709e-20	0.9998496277722564
3628130.0	2824678.2159113917	2824441.30933536	3.274773372474709e-20	0.9998496277722564
4627900.0	2824678.215911392	2824441.3093353603	3.274773372474709e-20	0.9998496277722565
