time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.78609e-06	1619000.0	172.584	1114.28
1	6.78609e-06	1.54409e-05	1619000.0	172.584	1114.28
2	1.54409e-05	2.6479e-05	1619000.0	24.9723	1114.28
3	2.6479e-05	4.05567e-05	324900.1200000001	78.3708	594.4146999999998
4	4.05567e-05	5.8511e-05	1747.1250000000002	106.667	78.03716
5	5.8511e-05	8.14094e-05	1768.9120000000003	98.9166	109.427
6	8.14094e-05	0.000110613	1027.9636	74.7398	95.22283999999998
7	0.000110613	0.00014786	467.8514	57.986	83.54289999999997
8	0.00014786	0.000195362	220.94159999999997	51.5631	77.03723000000001
9	0.000195362	0.000255946	137.1804	54.5065	78.89305999999999
10	0.000255946	0.000333212	110.29659999999997	64.132	86.75138000000001
11	0.000333212	0.000431756	105.47769999999998	77.9769	100.18067000000002
12	0.000431756	0.000557436	110.31359999999997	94.7711	115.60119999999998
13	0.000557436	0.000717725	120.85449999999997	114.067	134.90359999999998
14	0.000717725	0.000922154	136.1024	135.315	153.38520000000003
15	0.000922154	0.00118288	154.7338	157.463	173.7954
16	0.00118288	0.00151539	173.62469999999996	179.678	195.67109999999997
17	0.00151539	0.00193948	196.04899999999995	201.427	215.1168
18	0.00193948	0.00248035	222.45339999999996	222.23	233.78969999999998
19	0.00248035	0.00317015	250.1706	241.319	252.65499999999997
20	0.00317015	0.00404991	275.25180000000006	257.523	267.5728
21	0.00404991	0.00517194	297.5314	269.401	278.8604
22	0.00517194	0.00660294	315.38800000000003	275.61	285.1804
23	0.00660294	0.00842799	323.6271999999999	275.835	285.94649999999996
24	0.00842799	0.0107556	323.9851999999999	271.536	280.8402
25	0.0107556	0.0137242	318.3165	265.185	274.0787
26	0.0137242	0.0175103	306.2595999999999	258.693	266.78839999999997
27	0.0175103	0.0223389	294.91	251.603	258.42999999999995
28	0.0223389	0.0284973	283.40960000000007	251.603	254.05499999999995
29	0.0284973	0.0363514	266.15900000000005	250.051	246.0646
30	0.0363514	0.0463684	266.15900000000005	250.051	244.067
31	0.0463684	inf	266.159	250.051	244.067
