time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.58236e-06	46264.6	232.252	6510.7300000000005
1	6.58236e-06	1.49773e-05	46264.6	232.252	6510.7300000000005
2	1.49773e-05	2.5684e-05	46264.6	35.0107	6510.7300000000005
3	2.5684e-05	3.93391e-05	5361.518800000002	84.6192	3926.5576400000004
4	3.93391e-05	5.67544e-05	859.32	107.454	54.1232
5	5.67544e-05	7.89653e-05	795.9692000000001	102.494	88.54010000000001
6	7.89653e-05	0.000107293	581.4716000000001	88.568	95.62257999999997
7	0.000107293	0.00014342	356.35790000000003	77.8697	95.83808000000002
8	0.00014342	0.000189497	228.63320000000002	74.2339	95.13668000000003
9	0.000189497	0.000248262	170.7772	78.7002	97.72615999999998
10	0.000248262	0.000323209	146.934	89.4761	104.64539999999997
11	0.000323209	0.000418794	142.51099999999997	103.861	115.16800000000002
12	0.000418794	0.000540701	147.29900000000004	120.351	130.00889999999998
13	0.000540701	0.000696178	157.7132	138.387	145.7674
14	0.000696178	0.000894469	171.87230000000005	157.538	164.2658
15	0.000894469	0.00114736	188.39700000000002	177.005	183.03359999999995
16	0.00114736	0.0014699	204.63819999999998	196.191	203.2708
17	0.0014699	0.00188125	225.26310000000004	214.773	221.34360000000004
18	0.00188125	0.00240588	247.08360000000002	232.393	238.742
19	0.00240588	0.00307498	267.9207	248.431	254.96600000000004
20	0.00307498	0.00392833	288.5546	262.008	269.18249999999995
21	0.00392833	0.00501667	308.8376	272.09	280.2454
22	0.00501667	0.0064047	323.0036	277.71	287.29979999999995
23	0.0064047	0.00817497	331.156	278.611	288.19550000000004
24	0.00817497	0.0104327	333.1389	275.664	283.88930000000005
25	0.0104327	0.0133122	329.3018	270.539	276.4895
26	0.0133122	0.0169846	322.02020000000005	264.897	268.589
27	0.0169846	0.0216683	314.84100000000007	257.56	256.91150000000005
28	0.0216683	0.0276417	306.3585	257.56	249.82400000000007
29	0.0276417	0.0352601	297.876	251.056	235.14570000000006
30	0.0352601	0.0449763	297.876	251.056	228.85500000000005
31	0.0449763	inf	297.876	251.056	228.855
