time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.10942e-06	2402.65	18.6131	159.852
1	7.10942e-06	1.61766e-05	2402.65	18.6131	159.852
2	1.61766e-05	2.77406e-05	2402.65	71.696	159.852
3	2.77406e-05	4.24891e-05	1756.6480000000004	104.878	170.03220000000002
4	4.24891e-05	6.12988e-05	1202.1268	106.861	193.78600000000003
5	6.12988e-05	8.52883e-05	726.5523999999999	98.005	150.53199999999998
6	8.52883e-05	0.000115884	441.0256	88.4436	124.87929999999997
7	0.000115884	0.000154905	286.9698	84.2401	107.54319999999997
8	0.000154905	0.00020467	214.30679999999998	86.8133	100.69139999999999
9	0.00020467	0.000268141	180.84279999999995	94.3874	101.53727999999998
10	0.000268141	0.000349089	167.69359999999998	105.496	108.58119999999998
11	0.000349089	0.000452328	166.25280000000004	118.705	120.327
12	0.000452328	0.000583996	172.0145	133.195	132.6195
13	0.000583996	0.000751923	181.7602	148.47	146.97880000000004
14	0.000751923	0.000966091	193.7001	163.974	160.2068
15	0.000966091	0.00123924	205.60050000000007	179.147	174.43199999999996
16	0.00123924	0.0015876	219.39220000000006	193.633	188.09079999999997
17	0.0015876	0.00203189	235.1591	207.399	201.20840000000004
18	0.00203189	0.00259853	251.557	220.524	214.9284
19	0.00259853	0.0033212	266.8302	232.694	226.706
20	0.0033212	0.00424288	281.3634	243.057	237.9412
21	0.00424288	0.00541836	293.78900000000004	250.501	245.81699999999998
22	0.00541836	0.00691754	303.4996	254.179	250.42340000000002
23	0.00691754	0.00882956	308.02500000000003	254.117	251.50059999999993
24	0.00882956	0.0112681	308.6096	251.462	249.83419999999995
25	0.0112681	0.0143781	305.72339999999997	247.8	246.44620000000006
26	0.0143781	0.0183446	300.77649999999994	244.251	242.66959999999997
27	0.0183446	0.0234033	295.558	239.807	238.59370000000004
28	0.0234033	0.0298551	285.352	239.807	234.99500000000006
29	0.0298551	0.0380834	275.146	231.678	228.752
30	0.0380834	0.0485777	275.146	231.678	224.59
31	0.0485777	inf	275.146	231.678	224.59
